text,level
Zaķi spēj skriet ātrāk par 50 kilometriem stundā un skrējiena laikā bieži mainīt virzienu,sarežģīts
Abu sugu zaķi biežāk ēd krēslā un naktī,vidējs
Jūnijā Ulsiks ar lielu nepacietību gaida Zāļu vakaru un Jāņus,vidējs
"Tas ir koris, kurā dzied vien onkuļi",viegls
"Jau no agra rīta, kamēr mamma un oma rosās pa virtuvi, tētis un Ulsiks brauc uz pļavām",vidējs
Viņi atrod lielisku pļavu – tur pīpeņu balto ziedlapu vainadziņi ap dzeltenajām viduču saulēm cits pie cita,sarežģīts
Kur tad šito visu liks? – Omīte notes pēc pukojas,vidējs
"Ulsikam jāsteidzas, laika ir maz, jo jāpagūst sapīt garās vijas",vidējs
"Pīrāgi sacepti, siers ir, nu tik jāgaida līgotāji",vidējs
"Ulsiks piktojas, ja kāds par viņa skaisto darbu neizrāda prieku pietiekami skaļi",sarežģīts
"Ir tak katram dzīvē koks jāiestāda, vislabāk ozols Līgo vakarā, – Harītim vienmēr ir kāds sakāmais",sarežģīts
Latvijas Skolu jaunatnes dziesmu un deju svētki jeb Svētki ir nozīmīgākā bērnu un jauniešu dziesmu un deju tradīcija Latvijā,sarežģīts
Saskaņā ar Dziesmu un deju svētku likumu Svētki notiek reizi piecos gados starplaikā starp Vispārējiem latviešu dziesmu un deju svētkiem,sarežģīts
Vislielākais skatītāju un dalībnieku skaits bija 2015. gadā,vidējs
"Viņiem bija iespēja iekļūt ikvienā Svētku pasākumā gan mēģinājumu, gan koncertu laikā, kā arī satikt un intervēt Svētkos iesaistītos māksliniekus",sarežģīts
"Silīcija ielejas miljonāri ir panikā, jo viņu bērni pārāk daudz lieto viņu ražotos produktus",sarežģīts
"Kā ziņo The New York Times, daudzi vadošo interneta kompāniju darbinieki sākuši pilnībā aizliegt pieeju viedtālruņiem, planšetdatoriem, parastajiem datoriem",sarežģīts
"Daudzām turīgo bērnu auklēm jāparaksta līgums, ka bērnu klātbūtnē nelietos mobilos telefonus un neļaus to darīt arī viņiem",sarežģīts
Amerikā vienlaikus parādās digitālā plaisa,vidējs
Gadžeti – mazas mehāniskas vai elektroniskas ierīces ar kādu noteiktu funkciju,sarežģīts
"Mēs vairs neatceramies par tikšanos, ja neesam to ierakstījuši telefona kalendārā",sarežģīts
"Ņemot vērā smadzeņu attīstības posmus, var teikt, ka bērnam līdz 2 gadu vecumam vispār nevajadzētu dot ekrānierīces",sarežģīts
"Tikai divgadnieks sāk saprast ekrānā notiekošo, tad kvalitatīvs saturs var veicināt valodas attīstību, turklāt tas būtu jādara kopā ar vecākiem",sarežģīts
Diemžēl intensīva darbošanās ar ekrānierīcēm samazina vecāku un bērna kopā būšanu,sarežģīts
"Jāpiedāvā spēlēšanās svaigā gaisā, jādara kaut kas radošs, jāveic eksperimenti",vidējs
Proza ir mana labākā draudzene,viegls
"Proza ir laba klausītāja, vari tarkšķēt kā par tuvāko zvaigznāju izmēriem, tā smaržu flakona dizainu",sarežģīts
Tomēr ir daži nežēlīgi nosacījumi attiecībās ar Prozu,vidējs
Proza necieš ārišķību,vidējs
"Arī tad, kad tev ir neizciešami smagi, kad asiņo tavs egoisms un patmīla, viņa arī ir turpat",sarežģīts
Klausīt un klausīties,viegls
Proza ļauj dzīvot sarežģītu apziņas dzīvi,viegls
"Par savu labāko draudzeni varu stāstīt daudz un gari, taču tas šolaiku racionālajam cilvēkam nevar lietišķi noderēt",sarežģīts
"Rakstnieces Ingas Žoludes trešā grāmata, romāns „Sarkanie bērni”, ir mecenāta Raimonda Gerkena un Latvijas Rakstnieku savienības 2011",sarežģīts
"Es domāju, ka arī manus tekstus var izlasīt daudz dažādos veidos, un man tas patīk, tas mani priecē",sarežģīts
"Intars un Klāvs sēdējā uz vannas malas un aizrautīgi stāstīja, kā viņi meklējuši Dusmukuli",sarežģīts
"Plastmasu – tur, stiklu – tur, metālu – tur",viegls
"Klāvs un Intars dedzīgi stāstīja, ka viņi nolēmuši pētīt, cik daudz atkritumu viņu ģimene saražo gada laikā",sarežģīts
"Mēs krāsim, mazgāsim un šķirosim atkritumus",vidējs
"Apmēram katru otro dienu ir jāiztukšo atkritumu spainis, tas nozīmē apmēram trīs maisi nedēļā",sarežģīts
Ir jābūt precīziem,viegls
Ģimene vēl kādu brīdi turpināja diskusiju,viegls
"Klāvam bija desmit gadi, bet Intaram – deviņi",vidējs
"Tētis ar mammu sprieda, ka puikas trenējas riteņbraukšanas maratonam",vidējs
Brāļi un palaidnīgais maisiņš kļuva par nešķiramiem draugiem,sarežģīts
Viņi abi iegāja tumšajā šķūnītī,viegls
"Viss sākās pirms sešiem gadiem, kad avīzes galvenais redaktors man paziņoja: – Līse, esmu nolēmis tevi sūtīt sensācijas medībās",sarežģīts
"Ā, – es teicu, – bet tas ir pasaules otrā galā",viegls
"Tur ir biezi džungļi, kurus neviens vēl līdz galam tā īsti nav izpētījis, – viņš vēlreiz iebakstīja tumšajā laukumā",sarežģīts
"Es tikai nevarēju saprast, kas īsti man būtu meklējams tādā nekurienē – pašā džungļu vēderā",sarežģīts
ņš atklāja pasaules augstāko ūdenskritumu – Anhelu,vidējs
"Blefo, – es apšaubīju",viegls
Acumirklī migla izklīda un mans prāts noskaidrojās,vidējs
"Biju gatava sēsties pirmajā lidmašīnā, lai dotos pāri Atlantijas okeānam pie džungļu bagātnieka",sarežģīts
Atklājis kaut ko sensacionālu! – es atkārtoju,vidējs
"Lai pievērstu sabiedrības uzmanību tam, ka bērni lasa interesantas un skaistas grāmatas latviešu valodā, tiek pasniegta Jāņa Baltvilka balva",sarežģīts
Balvu – porcelāna „Baltā Vilka” laiviņu – laureātiem veido māksliniece Inese Brants,sarežģīts
"Starp laureātiem ir arī Inese Zandere, Juris Zvirgzdiņš, Inga Gaile, Anete Melece, Kārlis Vērdiņš, Aivars Kļavis, Marts Pujāts u",sarežģīts
"Pusaudžus piesaista grāmatas, kas atbild uz viņu jautājumiem, proti, dzīves jēga, izvēles un sava ceļa jautājumi",sarežģīts
Pirms digitalizācijas laikmeta viena no vissvarīgākajām informācijas platformām bija drukātā prese,sarežģīts
Antons Benjamiņš dzimis 1860,viegls
"Pēc veikalu bankrota un laulības šķiršanas Benjamiņš pārcēlās uz Rīgu, kur uzsāka reportiera un redaktora gaitas",sarežģīts
"Sapratis, ka atrodas uz īstā ceļa, Benjamiņš pameta „Rīta Vēstneša” redakciju un 1911",sarežģīts
Emīlija Benjamiņa (pirms tam Elks) dzimusi 1881,viegls
"Redakcijas darbinieks Kārlis Skalbe šo „Jaunāko Ziņu” periodu atminas šādi: „Rakstīju tikai tik daudz, cik man bija, ko sacīt",sarežģīts
Jaunākās Ziņas” iznāca līdz pat 1940,viegls
"To, cik lielu rezonansi šie apskati varēja izraisīt, pierādīja atgadījums ar dziedātāju Marisu Vētru",sarežģīts
Eiropas 19. gadsimts,vidējs
Pārejas laikmetā,viegls
"Uz traģikas pamatojas visi augstākie centieni, visas cīņas",vidējs
"Savu laikmetu rakstnieks pat nosaucis par „slimo pasauli”, jo tajā pārāk maz ir iejūtības un sirsnības",sarežģīts
Mūsdienu cilvēks J,viegls
Bērnu paņēma pils vārtu sardze un sakni iestādīja mazā māla podā,vidējs
"Viņa negāja, kur bija ļaudis, jo kaunējās no savām kājām",vidējs
"Laimes puķe auga gausi, un meitene jau bija liela, kad tā sāka zarot",vidējs
"Kad viņš gāja garām, viņas seja kļuva vēl baltāka un viņas krūtīs lēni spiedās iekšā it kā saldi asmeņi",sarežģīts
"Viņa paņēma savu sarkano puķi un gāja kā tālā miglā, nemanīdama savu kāju",sarežģīts
Meitene apsedza seju rokām un vaidēdama kāpa lejā,vidējs
Tā viņai bij labi,viegls
Tā bija revolūcija,viegls
"Nav nejaušība, ka šī klimatiskā robežlīnija, kas nošķir Eiropas atlantiskā klimata",sarežģīts
sekdundāro elektronu emisija vielas virsma tiek bombardēta,sarežģīts
"referendumā 66,9 Latvijas pilsoņu nobalsoja par valsts",vidējs
"Nākamie prezidenti Patrisio Ajlvins (Patricio Aylwin) un Eduardo Frei, juniors (Eduardo Frei, Jr",sarežģīts
"Ludvigs Ēķis (18921943), Latvijas",vidējs
Ebreju likumu un,viegls
"Baltazars Rusovs (vāciski: Russow, Rssow Balthasar; dzimis",sarežģīts
"Dibināšanas protokolā ierakstīts, ka sabiedrība nodibināta",vidējs
Izmanto kā konservantu,vidējs
1909. gads Ludvigs Gumplovičs (Ludwik,vidējs
Piekrastē putns parasti tie ir vairāki bariņā,vidējs
1947. gads Sofija Rotaru,viegls
Dao. Augstākā realitāte. Visuma,vidējs
"Meteoroloģiskais pavadonis ir Zemes mākslīgais pavadonis, kas paredzēts Zemes mākoņu segas un infrasarkanā starojuma novērojumiem no kosmosa",sarežģīts
22. februāris ir gada 53. diena pēc Gregora,viegls
"Apmetnes, ciemi, senpilsētas, apmetnes pie pilskalniem, nenocietinātās apmetnes (nenocietinātās dažkārt dēvē par atklāta tipa",sarežģīts
Skream (īstajā vārdā Ollie),vidējs
1934. gads Henks Ārons.,viegls
"Papildus hip hopa superzvaigznes karjerai, 2Pac ir parādījies filmās",vidējs
"Lielākās apdzīvotās vietas ir Vīksna (pagasta centrs), Annasbirzs, Ašusils, Čāgas, Dampadruva",sarežģīts
"Māja, jeb ģimenes nams (harēms, turku valodā: Harem; Osmaņu turku valodā",sarežģīts
Starptautiskais tuksnešu un pārtuksnešošanās gads,sarežģīts
Cena par karātu nepieaug vienmērīgi. Ir vērojami lēcienveida cenas pieaugumi pie noteiktiem dimantu lielumiem,sarežģīts
Pirms 2.pasaules kara Rangūnas iedzīvotāju vairums bija indieši. 2.pasaules kara laikā pilsēta cieta kaujās,sarežģīts
Valdība noslēdza ar,viegls
Pati parastākā magazīna ir atdalāma kārbveida magazīna,sarežģīts
Jo atšķiras no daudziem citiem lielo planētu pavadoņiem (kuru sastāvā ir,vidējs
Košalina () - pilsēta Polijas,vidējs
"Visu dienu turpinājās kaujas. Netālu no Austrijas robežas ar smago automašīnu kolonnu tika bloķēta DTA tanku kolonna, pēc tam DTA",sarežģīts
"1925. gadā kuģubūvētavā ""Ateliers Chantiers",sarežģīts
"Sākot ar Pirmo pasaules karu, Kafka sāka sacerēt mazāk romānu",vidējs
Šis ir European Hit,viegls
Kopā ar Maskavu,viegls
RTU struktūrvienības pamazām tika pārvietotas uz,vidējs
"2. Ja ir zināms ap trīsstūri apvilktās riņķa līnijas rādiuss, tad hipotenūzu var",sarežģīts
Piens satur kalciju,viegls
Kipras Futbola Asociācija (grieķu val,vidējs
Vēlāk strādāja Inčukalna muižā par saimniecības pārzini,sarežģīts
Tīmekļa vietne parasti,vidējs
Nākamie trīs gadi jaunajai federācijai bija bīstams,vidējs
"Funkcijas grafiks ir parabola. Sastādot tabulu, jāizvēlas piecas ""x"" vērtības",vidējs
"Kliņģerīšu ziedlapiņās ir daudz karotīna 7,631,3 mg, arī likopīns, citroksantīns, ēteriskās eļļas",sarežģīts
Krievijas Federācijas valsts karogs ir Krievijas Federācijas oficiāls valsts simbols. Valsts,sarežģīts
1990. gadā ciemu reorganizēja par pagastu. 2009,vidējs
C kvarks jeb šarmantais (charm) kvarks ir smagākais kvarks otrajā ģimenē un,sarežģīts
"1997. gads Viktors Vazareli (Victor Vasarely), franču mākslinieks (dzimis 1906)",vidējs
Par Tālavas zemes teritoriju vēsta vairāki teksti Indriķa hronika,sarežģīts
"Pastāv dažādas jogas formas",viegls
No 1917. līdz 1931. gadam Nairobi un tās,viegls
20. aprīlis Fils Hills,viegls
1839. gadā zemē iebruka,viegls
Tanzānijā galvenokārt ir divas lietus sezonas ilgie lietus periodi no vēla,sarežģīts
"Arābu pasaulē (izņemot šiītus, kas lieto tikai titulu sajids) parasti par šerifu sauc",sarežģīts
"Pēc legāta aicinājuma 1225. gadā uz sarunām Rīgā ieradās Rietumzemgales vecākais Viestards, kurš piekrita",sarežģīts
Britu valdīšanas gados Madrasa izauga par lielu metropoli. Pirmā pasaules kara laikā Madrasa bija vienīgā,sarežģīts
Livonijā kaltās monētas,vidējs
divIespējams ka tās tika pazaudētas transportēšanas,sarežģīts
Viroterapijas pētniece Aina Muceniece,sarežģīts
Gaisa temperatūras absolūtais mēneša maksimums desmit Latvijas meteoroloģiskajās,sarežģīts
"6. jūlijs Dženeta Lī (Janet Leigh), amerikāņu aktrise",vidējs
Buda tad bija aptuveni 35 gadus,viegls
"Internet Explorer, saīsināti",vidējs
Meleca ir pilsēta,viegls
Savdabīgā polinēziešu reliģija,sarežģīts
"Pēteris Koroševskis (1940), lauksaimnieks, kā LPSR Augstākās padomes",sarežģīts
1860. gadu otrajā pusē Roze pārcēlās,viegls
Pēteris Skudra (dzimis Rīgā) ir bijušais,viegls
"Vārniene (arī Vornīne, latgaliešu: Vuornīne) ir upe Latgalē, Balvu novadā. Upe",vidējs
Ila teritorijā atrodas,viegls
"Transakcija sastāv no loģisko darbību kopuma, kas tiek izpildītas",sarežģīts
"1912. gads Kārlis Barons, latviešu daiļdārznieks",vidējs
Latviešu valodā visu,viegls
Pirmoreiz balva tika pasniegta 2001,vidējs
ziemeļu daļā daļa no Peikstulnīcas-Salas,viegls
Ķengarags kā apdzīvota vieta dokumentos minēta 16. gadsimta otrajā pusē,vidējs
1604. gads Nasavas-Zīgenes Johans,viegls
1320.gada 30.janvārī Vladislavs I Krakovā,viegls
"Politiski neuzticamos arestēja, vai izsūtīja administratīvajā trimdā. Trimdiniekiem",vidējs
Pirmo reizi uz vasaras,viegls
646. gadā uiguru vadonis Tumidu pasludināja,vidējs
"Strīda bumba: rodas, ja tiesnesis ir pārtraucis spēli kādu",vidējs
Pilsētā atrodas trīs universitātes. Lille ir mājvieta,vidējs
1970. gados tika uzbūvēta,viegls
Haņu dinastijas laikā Haņana,vidējs
Vasaras olimpiskajās spēlēs Bulgārijas,sarežģīts
"2005. gada jūnijā klajā nāca otrais Z-Scars albums ""Pasakas un reklāmas""",vidējs
Par trimdas latviešu kokļu kustības,vidējs
Lai arī vājā mijiedarbība un,viegls
Dāķijas pirmiedzīvotāji sāk sacelšanos,sarežģīts
Prezidents nevar atlaist Kongresu,vidējs
Ziemeļu upespērlenes ķermeni apņem,sarežģīts
"Situācija ir līdzīga, ja uz ass diskrētos punktos izvietoti punktveida",sarežģīts
Pagasts izveidojies Ruskulovas muižas teritorijā,sarežģīts
"Straujā industrializācija un lielo rūpnīcu celtniecība prasīja lielu daudzumu darbaspēka, ko karā cietusī Latvija nevarēja nodrošināt pilnībā",sarežģīts
2003. gada 25. septembra Nature žurnālā tika publicēti misijas komandas,sarežģīts
IBM nolēma turpmāk koncentrēties,viegls
1920. gada 17. novembrī Vladikaukāzā pasludināja Kalniešu APSR dibināšanu,sarežģīts
Pateicoties šīm kalnu grēdām,vidējs
1949. gadā Rīgas,viegls
Vidars skandināvu mitoloģijā ir Odina un milzes Gridas dēls,sarežģīts
Kā ziņotāja izstrādājusi vairākus likumdošanas aktus: par finanšu,sarežģīts
Fobos-2 bija PSRS starpplanētu,vidējs
1926.gadā tika nodibināta Starptautiskā Nacionālo standartizācijas,vidējs
Zvērināts notārs sniedz paskaidrojumu akta dalībniekiem par darījumam nepieciešamajām tiesu vai iestāžu atļaujām un,sarežģīts
Igaunijas PSR ģerboni,vidējs
1919. gada februāra beigās tika pievienota Latviešu,vidējs
"Štata nosaukums cēlies no Amazones upes nosaukuma, kas",vidējs
"Lielākā daļa DBVS, sākot",viegls
30. decembris Selvins Karverlijs,sarežģīts
No 18 137 Cēsu iedzīvotājiem 15 130 ir,viegls
"Pēc neatkarības atjaunošanas Baltijas valstīs 90.to gadu sākumā, iedzīvotāju skaits tajās",sarežģīts
European Hit Radio Top 40 (Super FM Top 40) ir Latvijas nacionālās,sarežģīts
Pēc kāda laika nomira Hetcels un Verna,viegls
"Līdz 338.g. p.m.ē. visas sengrieķu pilsētvalstis, izņemot Spartu, bija iekarojis Maķedonijas karalis Filips",sarežģīts
What man would not die,viegls
Pēc aktīvo sporta,viegls
Aliasing (cēlonis dažādu,vidējs
"Iedzīvotāju skaits Armēnijā sasniedz 3 238 000, no kuriem vairāk",vidējs
Vēlajā neolīta laikmetā (2300.-1500. g. pr,viegls
Pēc Latvijas neatkarības atjaunošanas un Nacionālo bruņoto spēku,sarežģīts
"Virs kristāliskā pamatklintāja nāk pamatiežu stāvs, kura biezums Ogres",sarežģīts
"Tikai 1230. gadā daļa kuršu ķēniņa Lamekina vadībā noslēdza līgumu ar Rīgas domkapitulu, ordeni un Rīgas pilsētu",sarežģīts
"Club Atltico River Plate, zināms arī kā River Plate vai vienkārši River, ir populārs Argentīnas futbola klubs",sarežģīts
"Oleīnskābe veidojas, sākot sadalīties mirušām bitēm. Dzīvās bites, to sajūtot, instinktīvi",sarežģīts
Pārtikas rūpniecībā kalcija,viegls
Litosfēra būtībā peld uz astenosfēras un to var iedalīt,vidējs
Dažādu kalibru piemērojumi,sarežģīts
Šajā uzskaitījumā apkopoti,vidējs
Halogēnogļūdeņraži ar saiti C(sp3)Hal,vidējs
Stūra sitiens: kad bumba ir,viegls
"Valsts valodas likums nosaka, ka jaunus terminus latviešu",vidējs
Pirmie Zaļkalna darbi bija,viegls
Egles bojā daudzi kukaiņi un to,viegls
10. aprīlis sabiedroto spēki atbrīvoja pirmo nacistu,vidējs
Mūsdienās pilsēta ir pazīstama kā etniski ļoti jaukta,vidējs
"Upes garums 50 km, kritums",viegls
Dobeles Vissvētākās Trīsvienības Romas katoļu baznīca ir Romas katoļu Rīgas metropolijas Jelgavas,sarežģīts
"10. februāris Arturs Millers (Arthur Miller), amerikāņu dramaturgs",sarežģīts
"1914. gadā sākās Pirmais pasaules karš, un pēc diviem gadiem",vidējs
Vidējais iedzīvotāju blīvums Tveras apgabalā,sarežģīts
"Terminu ""ekoloģija"" pirmo reizi",vidējs
Uzņēmumu (kapitālsabiedrību) dalījums privātos,sarežģīts
"Frīdrihs Dāvids Lencs (17451809), Tartu Universitātes igauņu",vidējs
Pilsēta ietver vairāk,viegls
"Plastiska jeb neatgriezeniskā deformācija notiek tad, kad ķermenis pēc",sarežģīts
Otrā pasaules kara laikā Sādāts atradās cietumā par mēģinājumiem iegūt fašistu un nacistu atbalstu Brīvo virsnieku pretbritu aktivitātēm,sarežģīts
zinātnes mērķis ir,viegls
Mūsdienu Brunavas pagasta teritorijā vēsturiski atradās,vidējs
Leipcigā dažādos laikos dzīvojuši: Johans Sebastiāns,sarežģīts
Atšķirībā no citām,viegls
1885. gadā Transvālā tika atklātas bagātīgas zelta atradnes un šeit īsā laikā ieradās daudzi pārceļotāji no Kapzemes,sarežģīts
2022. gads Roberts,viegls
"Lionas ""Olympique"" (), saukts arī par OL vai vienkārši Lyon, ir",sarežģīts
Dabas lieguma zona,viegls
"Atsevišķās grieķu pilsētās, kā Atēnās",vidējs
Selēns ir ķīmiskais elements ar simbolu Se un atomskaitli 34. Tas ir nemetāls,vidējs
1980. gadā Ronalds,viegls
Vēl ledus laikmeta beigu posma mednieki,viegls
2005. gada 30. novembris,vidējs
"No āboliem tiek iegūti dažādi produkti, piemēram",vidējs
Sabiles pilskalns atrodas uz,vidējs
"Nav zināms tiešs laiks, kad sākusies šo",viegls
Pēc Pirmā pasaules kara Maskavas priekšpilsētu pārdēvēja par Latgales priekšpilsētu. 1924,sarežģīts
Zemāk esošajā tabulā,viegls
"Thimphu (dzongke: ; Thimphu) ir pilsēta Butānas rietumdaļā, no 1952. gada - valsts galvaspilsēta. Atrodas",sarežģīts
Cilti veidoja vairākas dzimtas,vidējs
Kāpjošie divskaņi ar īsu sākumu iedalās,viegls
Jorkšīras Īstraidinga () ir ceremoniālā grāfiste Anglijas ziemeļaustrumu daļā. Ietilpst Jorkšīra un Hamberas reģionā. Grāfiste robežojas ar,sarežģīts
1921. gada 26. janvārī Antantes valstis,vidējs
Pēc veiksmīgā 1958,viegls
Tomēr Afrodīte nebija,vidējs
"Tie vairojas uz sauszemes, dējot",viegls
Alanīns aknās viegli pārvēršas,vidējs
"Pēc apvērsuma Pērkonkrusts izlēma aiziet pagrīdē, kamēr turpinājās ārkārtas stāvoklis valstī un bija",sarežģīts
Pilsētas tiesības Birmingema ieguva,vidējs
"Vļoru 6. gadsimtā pirms mūsu ēras dibinājuši sengrieķi, nosaucot par Aulonu",sarežģīts
1969. gadā Roze Stiebra,viegls
"1993. gadā A. Bērziņš bija viens no savienības ""Latvijas Ceļš",vidējs
"1933. gads Dāvids Sīmansons, latviešu ģenerālis (dzimis 1859",vidējs
Jātvingu un prūšu galīgo,viegls
Bija kultūras ministrs Andra Šķēles 1. un 2. valdībā no Latvijas,vidējs
Viena no nozīmīgākajām ekoloģijas problēmām ir dabas resursu un,vidējs
1974. gadā atklāja jaunu,viegls
EAP P238 vairs netiek,viegls
EPS L9.7 jeb tage Propergol Stockables L9.7,viegls
Latvijas tauta pārņēmusi suverēno varu no svešas varas,vidējs
Netālu no halles iet,viegls
Inženieri ir bijuši bieži,viegls
"Čada ezers ir nozīmīgs dzīvajai dabai, tai skaitā krokodiliem, zivīm un",sarežģīts
"Dābolīte tuva Boksera draudzene, kas arī bija darba zirgs. Viņa sevi vainoja oriģinālo septiņu baušļu aizmiršanā",sarežģīts
Kad Otrā Pasaules,viegls
Vai jūs atbalstāt Piedņestras,vidējs
1926. gadā Liepājas apriņķim pievienoja no,vidējs
"Veluņa () - pilsēta Polijas centrālajā daļā, Lodzas vojevodistē. 1424. gadā pilsētā",sarežģīts
Grenlande ir reti,viegls
2016. gadā M. Zemļinskis ieņēma,vidējs
Viens no ievērojamākajiem angļu valodas,vidējs
Bez šiem darbiem ir saglabājušās Tacita,viegls
Senskandināvu mitoloģijā galvenā dievu grupa ir āsi,vidējs
2011. gada vasarā Jāgrs,viegls
Ar 464 metru dziļumu (pēc citiem ticamiem avotiem 482 m) šis ir Norvēģijas un,sarežģīts
"Mazovija (Mazowsze) Polijas karalim (""Kronim"") pakļautās vidienes provinces pie otrās",sarežģīts
Ja starp oglekļa atomiem,viegls
Vācieši un vācbaltieši turpināja karaspēku,sarežģīts
Latvijas klimatu lielā mērā,viegls
Lettgallia bija un,viegls
9. augusts Džons,viegls
Kālezers (arī Kāla ezers,viegls
Prozas pamatžanri ir,viegls
Par leņķa kotangensu sauc,viegls
"Neskatoties uz to, ka priekšroka tiek",viegls
Kurzemes rajonā atrodas vairākas Rīgas pilsētā nozīmīgas,vidējs
"Starp Latvijas titulētākajiem dambretistiem ir Guntis Valneris, Zoja",sarežģīts
"Cara valdības ministri, redzot militārās varas sabrukumu galvaspilsētā",sarežģīts
Šīs sērijas ēkas sāka būvēt 1980. gadu sākumā un tās,viegls
"2006. gadā tiek sākts darbs pie jaunā albuma Hell in Stereo, kas tiek izdots 2007. gadā Aghast",sarežģīts
Liela ostas pilsēta (eksportē,vidējs
Doneckas apgabals () ir viens,viegls
Dzimumdziedzeri jeb gonādas ir iekšējās,vidējs
"Go (Ķīnā veicji, Korejā",viegls
Arī Latvija valdība apstiprināja,vidējs
1644. gadā Maltas korsāri sagrāba,viegls
Pēc kara beigām un,viegls
"Valdis Muktupāvels norāda, ka koklēšanai raksturīgie paņēmieni ir",sarežģīts
1884. gads Pols Morfijs (Paul Morphy,viegls
LKP profesionāļu kadrus KPFSR gatavoja komunistiskajās mācību,sarežģīts
Būtiska atšķirība kosmosa kuģim no,viegls
Suntažu muiža,viegls
Līvbērzes pagasts ir viena no Jelgavas novada administratīvajām teritorijām tā ziemeļrietumos,sarežģīts
atklāja elektriskā tramvaja līniju ĶemeriJaunķemeri. 1913. gadā tajā kursēja 5,vidējs
Šajā laikā Šūberts sāka sacerēt,viegls
"Somosa, izmantojot Nacionālo gvardi, panāca, ka prezidentam lojālo cilvēku vietā",sarežģīts
Deviņstāvīgā institūta ēka,sarežģīts
Lielākās apdzīvotās vietas,vidējs
"Paredzams, ka tik lielai struktūrai kā kosmiskais lifts",vidējs
Rubenšs Gonsalvešs Barikello,sarežģīts
Aquitania tertia vai Aquitania,vidējs
Priekuļu pagasts ir,viegls
"Patstāvīgu rezidenci ""Chahar baq"" (četri dārzi) Teherānā uzbūvēja Abbass II. Pēc",vidējs
Pilsētu Portugāles futbola Premjerlīgā pārstāv,sarežģīts
GPS kompasi viena no otras atstatus,viegls
"Ēģipte, oficiāli Ēģiptes Arābu Republika",vidējs
Starp nozīmīgākajiem latviešu dzejniekiem,vidējs
2001. gada 23,viegls
"Jūras pirātu ēra tuvojas savam nobeigumam, taču līdz",vidējs
Kaupo miris no,viegls
Eiklīda ģeometrijā Pitagora teorēma ir sakarība starp taisnleņķa trijstūra malu,sarežģīts
Elfs (Elf) (arī,viegls
"1993. gada 27. aprīlī norisinājās ārpuskārtas kongress, kurā",vidējs
"Staņislavs Olijars (dzimis Čeļabinskā, Krievijā) ir bijušais",sarežģīts
1928. gadā pilsētā mira,viegls
Pirmoreiz tā tika publiski izpildīta 1864. gada,viegls
"Rietumu kultūra tiecas būt vairāk individuālistiska salīdzinājumā ar ne-rietumu kultūrām. Tā redz cilvēku, dievu",sarežģīts
Osmaņu sultāns,vidējs
"Valgas Brīvības piemineklis, Valgas",sarežģīts
Aleksandrs Konstantinopoļskis (,sarežģīts
halogenāti etāni,sarežģīts
"Pamatizglītību Galileo ieguva mājās, taču kad 1575. gadā ģimene",vidējs
80 ir servera,viegls
"Pēc Līvzemes, Letijas un Tālavas dalīšanas līgumu nosacījumiem agrākie līvu un letu kungi",sarežģīts
Drūms un traģisks kolorīts aprakstā efektīvi kontrastējas ar,sarežģīts
1985. gadā daļēji,viegls
"Ziemeļjūras dienvidaustrumu daļu Dānijas, Vācijas un Nīderlandes piekrastē nereti dēvē par Vatu jūru",sarežģīts
1908. gadā uzrakstīja savu,viegls
2002 23. vieta (4. vieta 1,viegls
Karačajiešu un čerkesu priekšteču apdzīvoto teritoriju pakļāva,sarežģīts
1993. gada 1. decembrī VAĢB Latvijas nodaļa pārveidojās par,vidējs
"1791. gadā, kad Haidnam bija jau turpat 60 gadu, nomira vecais",vidējs
18. gadsimta beigās visa tagadējās Latvijas teritorija,vidējs
Adrese - šie lauki satur informāciju par to no kurienes,vidējs
Latvijas hokeja izlases,vidējs
25. decembris ritmlūza un solo mūzikas,viegls
Kopā ar Parīzes 16. un 7,viegls
"Nsilie Varmācība, slovāku val.. Tulk. Marija Hulmanova. Bratislava: Slovensky",sarežģīts
Otrajā pasaules karā,viegls
Līdz 1925. gadam pagasta nosaukums bija Ērberģes pagasts,vidējs
"Šerifs (amatpersona), amatpersona",sarežģīts
Vladimirs Nabokovs dzimis,sarežģīts
"Kaut kādā ziņā par pretējo darbību skaitļa pieraksta bāzē, kas nav",vidējs
1943. gads Jakovs Džugašvili (,vidējs
1965. gadā sākās kosmiskā kompleksa L1,vidējs
Albums ierakstīts no 2001. līdz 2003. gadam Phoenix Studios.,vidējs
"Ja ķermeņa masa uz Zemes ir 1 kg, tad tā svars",viegls
1872. gads Jozefs Rozemeiers (Joseph,vidējs
"Antarktīdas pussalas ziemeļu daļā atrodas arī Čīlei piederošā stacija Henerala Bernardo O'Higinsa, kas šeit nepārtraukti darbojas kopš",sarežģīts
1933. gadā Hitlers,viegls
"Pēc cita uzskata viņa vārda pirmā daļa al- nozīmē ""alga"" un viss vārds nozīmē ""algu",sarežģīts
1988. gads Andrē Frederiks,viegls
19. gs. sākumā tika sākta,viegls
"Apple Macintosh, sarunvalodā saukts arī vienkārši par Mac, ir zīmols, kurš ir attiecināms uz jebkuru",sarežģīts
Tas bija apgādāts ar infrasarkanā un,viegls
"1714. gadā Buhgolca vadītais karagājiens uz Austrumiem, pakļaujot stepju",sarežģīts
